v8-version,6,1,534,50,0
code-creation,Stub,3,190717,0x7bdf5a0780,2262,"RecordWriteStub"
code-creation,Stub,3,190720,0x7bdf5a1060,978,"RecordWriteStub"
code-creation,Handler,4,190723,0x7bdf5a1440,780,"An IC handler from the snapshot"
code-creation,Stub,3,190726,0x7bdf5a1760,2261,"RecordWriteStub"
code-creation,Stub,3,190730,0x7bdf5a2040,483,"CreateAllocationSiteStub"
code-creation,Stub,3,190732,0x7bdf5a2240,2288,"RecordWriteStub"
code-creation,Stub,3,190736,0x7bdf5a2b40,2265,"RecordWriteStub"
code-creation,Stub,3,190739,0x7bdf5a3420,984,"RecordWriteStub"
code-creation,Stub,3,190742,0x7bdf5a3800,2288,"RecordWriteStub"
code-creation,Stub,3,190745,0x7bdf5a4100,2283,"RecordWriteStub"
code-creation,Stub,3,190748,0x7bdf5a4a00,2304,"RecordWriteStub"
code-creation,Stub,3,190751,0x7bdf5a5300,2262,"RecordWriteStub"
code-creation,Stub,3,190754,0x7bdf5a5be0,2262,"RecordWriteStub"
code-creation,Stub,3,190757,0x7bdf5a64c0,591,"StringAddStub"
code-creation,Stub,3,190760,0x7bdf5a6720,1872,"StringAddStub"
code-creation,Builtin,5,190763,0x7bdf5a6e80,298,"NonPrimitiveToPrimitive_Default"
code-creation,Stub,3,190766,0x7bdf5a6fc0,1869,"GetPropertyStub"
code-creation,Builtin,5,190769,0x7bdf5a7720,233,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,190772,0x7bdf5a7820,364,"OrdinaryToPrimitive_Number"
code-creation,Handler,4,190775,0x7bdf5a79a0,308,"An IC handler from the snapshot"
code-creation,Stub,3,190779,0x7bdf5a7ae0,2258,"RecordWriteStub"
code-creation,Stub,3,190782,0x7bdf5a83c0,2308,"RecordWriteStub"
code-creation,Stub,3,190785,0x7bdf5a8ce0,2262,"RecordWriteStub"
code-creation,Stub,3,190788,0x7bdf5a95c0,2265,"RecordWriteStub"
code-creation,Stub,3,190791,0x7bdf5a9ea0,2299,"RecordWriteStub"
code-creation,Stub,3,190794,0x7bdf5aa7a0,2278,"RecordWriteStub"
code-creation,Stub,3,190797,0x7bdf5ab0a0,2262,"RecordWriteStub"
